id,Screen B - Stock#,Screen W - Stock#,Battery - Stock#,Back Glass - Stock#,Screen - Part$,Battery - Part$,Back Glass - Part$,Screen - Repair$,Battery - Repair$,Back Glass - Repair$,
6,0,0,0,0,11,0,-,80,35,0,
6+,0,0,0,0,14,0,-,80,35,0,
6S,0,1,0,0,13,0,-,80,35,0,
6S+,0,1,0,0,16,0,-,80,35,0,6/6s not same screen
7,1,0,0,0,13,10,-,80,35,0,
7+,0,0,0,0,17,11,-,90,35,0,
7S,1,0,0,0,13,10,-,80,40,0,
7S+,0,0,0,0,17,11,-,90,40,0,
8,1,0,0,0,14,14,0,100,40,60,
8+,0,1,0,0,17,0,0,100,40,60,
8S,0,0,0,0,14,14,0,100,40,60,
8S+,0,1,0,0,17,0,0,100,40,60,
X,1,0,0,0,35,0,0,150,50,100,
XR,1,0,0,0,35,0,0,150,50,100,
XS,0,0,0,0,35,0,0,150,50,100,
XS-MAX,0,0,0,0,85,0,0,170,dd,100,
11,0,0,0,0,50,0,0,170,50,100,
SE,0,0,0,0,14,0,0,100,40,100,
11-PRO,0,0,0,0,140,0,0,250,60,100,
11-PRO-MAX,0,0,0,0,207,0,0,270,60,100,
12,0,0,0,0,140,0,0,250,60,60,
12-MINI,0,0,0,0,35,0,0,150,50,100,
12-PRO,0,0,0,0,35,0,0,150,50,100,
12-PRO MAX,0,0,0,0,35,0,0,150,50,100,
13,0,0,0,0,85,0,0,170,dd,100,
13-MINI,0,0,0,0,50,0,0,170,50,100,
13-PRO,0,0,0,0,14,0,0,100,40,100,
13-PRO MAX,0,0,0,0,140,0,0,250,60,100,
,0,0,0,0,207,0,0,270,60,100,
