"IMEI","Serial","StationID","Model","ModelNum","Grade","Failed","Color","Memory","Parts","BatteryHealthPercentage","UnlockStatus","DeviceLock","Carrier","MDM","SimLock","TimeTaken","CreatedTimeStamp","deviceDisconnect"
"356434107982846","FFWZX3BBKXKQ","eze7","iPhone XR","A1984","","","Red","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""FFWZX3BBKXKQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""FFWZX3BBKXKQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""C7H95150H3YJ9WJBN"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""C7H95150H3YJ9WJBN""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y9453070FJKGTAL"",""checkSum"":""null"",""CurrentSerial"":""F8Y9453070FJKGTAL""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""G8R950690BLJH813J"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G8R950690BLJH813J""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""GCF95049BV8HYMW2Q"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""GCF95049BV8HYMW2Q""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""GHC91026187KF3C9T+BB077098650187075733818913"",""checkSum"":""null"",""CurrentSerial"":""GHC91026187KF3C9T+BB077098650187075733818913""}]}","92","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:57:35.00-04:00","2021-09-20 22:58:40"
"357206097057196","G0NY2A4CKPFQ","eze5","iPhone XS","A1920","","","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""G0NY2A4CKPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G0NY2A4CKPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X901601NPJVN6D"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X901601NPJVN6D""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y849412P7JT0Q0Q"",""checkSum"":""null"",""CurrentSerial"":""F8Y849412P7JT0Q0Q""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""G8R8445585SJH844M"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G8R8445585SJH844M""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL84776N0PJ5XN6Y"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL84776N0PJ5XN6Y""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXM82446CAGJNK59W+11025090686161070716748913"",""checkSum"":""null"",""CurrentSerial"":""FXM82446CAGJNK59W+11025090686161070716748913""}]}","81","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:50:18.00-04:00","2021-09-20 22:58:14"
"357203096938054","F17Y31YKKPFQ","eze5","iPhone XS","A1920","","","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""F17Y31YKKPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F17Y31YKKPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X9026094EJVN6D"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X9026094EJVN6D""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F5D85052QVEJT0LA1"",""checkSum"":""null"",""CurrentSerial"":""F5D85052QVEJT0LA1""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""G8R848717RRJH844V"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G8R848717RRJH844V""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL84077Y2UJ5XN6V"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL84077Y2UJ5XN6V""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FY68465DU18JNK59X+01053110694168083863777913"",""checkSum"":""null"",""CurrentSerial"":""FY68465DU18JNK59X+01053110694168083863777913""}]}","81","UNLK","Off","AT&T","No","",NaN,"2021-09-20T18:52:23.00-04:00","2021-09-20 22:53:44"
"357205094541624","G0NXJXQYKPFQ","eze5","iPhone XS","A1920","B1","","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""G0NXJXQYKPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G0NXJXQYKPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X84130240JVN6A"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X84130240JVN6A""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y83842QWHJT0Q06"",""checkSum"":""null"",""CurrentSerial"":""F8Y83842QWHJT0Q06""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""G8R83828012JH845B"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G8R83828012JH845B""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL83744W9WJ5XN60"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL83744W9WJ5XN60""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXT830745XNJNK59A+11016090684157073719735913"",""checkSum"":""null"",""CurrentSerial"":""FXT830745XNJNK59A+11016090684157073719735913""}]}","80","UNLK","Off","","No","Unlocked",NaN,"2021-09-20T18:33:17.00-04:00","2021-09-20 22:57:11"
"356427102813933","DNPYV853KXKQ","eze7","iPhone XR","A1984","B1","","Red","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""DNPYV853KXKQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNPYV853KXKQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X924204D4L1P1C"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X924204D4L1P1C""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y92110DQ8JKGTAZ"",""checkSum"":""null"",""CurrentSerial"":""F8Y92110DQ8JKGTAZ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""F0W921403KHJH801G"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F0W921403KHJH801G""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""GCF92020LE4HYMW3R"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""GCF92020LE4HYMW3R""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXP835127GTKF3C9S+07009096656181076723791913"",""checkSum"":""null"",""CurrentSerial"":""FXP835127GTKF3C9S+07009096656181076723791913""}]}","85","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:41:00.00-04:00","2021-09-20 22:58:25"
"356423106501517","F2LZ1Q93KXKQ","eze7","iPhone XR","A1984","B1","Face ID,","Red","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""F2LZ1Q93KXKQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F2LZ1Q93KXKQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X92760LAGJ9WJC"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X92760LAGJ9WJC""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y92630D5WJKGWAE"",""checkSum"":""null"",""CurrentSerial"":""F8Y92630D5WJKGWAE""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""F0W92451271JH801N"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F0W92451271JH801N""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""F6D92220XBHJ5Y22D"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F6D92220XBHJ5Y22D""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXN83035WS6JT5F9F+07023087662176077656770913"",""checkSum"":""null"",""CurrentSerial"":""FXN83035WS6JT5F9F+07023087662176077656770913""}]}","88","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:34:38.00-04:00","2021-09-20 22:58:19"
"356166095127642","F17X83X2KPFQ","eze5","iPhone XS","A1920","C","Bad ESN,","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""F17X83X2KPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F17X83X2KPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X83340T00JVN64"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X83340T00JVN64""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y83271KPFJT0Q8U"",""checkSum"":""null"",""CurrentSerial"":""F8Y83271KPFJT0Q8U""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""DNM826300X6JH831T"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNM826300X6JH831T""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL82865ZEWJ5XN69"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL82865ZEWJ5XN69""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXD82067CGQJNK57R+10532094662153077775725913"",""checkSum"":""null"",""CurrentSerial"":""FXD82067CGQJNK57R+10532094662153077775725913""}]}","81","LK","Off","Sprint","No","Locked",NaN,"2021-09-20T18:35:03.00-04:00","2021-09-20 22:58:12"
"356446104247601","FFXZKMEFKXKQ","eze7","iPhone XR","A1984","B1","","Red","64GB","{""Remarks"":""N/A"",""Data"":[{""currentCheckSum"":""null"",""name"":""Serial Number"",""checkSum"":""null"",""notice"":""""},{""currentCheckSum"":""null"",""name"":""Main Board"",""checkSum"":""null"",""notice"":""""},{""currentCheckSum"":""null"",""name"":""Battery"",""checkSum"":""null""},{""currentCheckSum"":""null"",""name"":""Front Camera"",""checkSum"":""null"",""notice"":""""},{""currentCheckSum"":""null"",""name"":""Back Camera"",""checkSum"":""null"",""notice"":""""},{""currentCheckSum"":""null"",""Status"":""N/A"",""name"":""LCD"",""FactorySerial"":""N/A"",""checkSum"":""null"",""CurrentSerial"":""N/A""}]}","89","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:34:46.00-04:00","2021-09-20 22:54:34"
"356175092765601","C39XL61FKPFQ","eze5","iPhone XS","A1920","","","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""C39XL61FKPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""C39XL61FKPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""G2C84320UEJJVN6C"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G2C84320UEJJVN6C""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F8Y8413151MJT0Q0W"",""checkSum"":""null"",""CurrentSerial"":""F8Y8413151MJT0Q0W""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""G8R841246WDJH842G"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G8R841246WDJH842G""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL8407AF6QJ5XN6V"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL8407AF6QJ5XN6V""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FX98375EZATJNK57F+10961093698165075742769913"",""checkSum"":""null"",""CurrentSerial"":""FX98375EZATJNK57F+10961093698165075742769913""}]}","86","UNLK","Off","","No","Unlocked",NaN,"2021-09-20T18:34:13.00-04:00","2021-09-20 22:52:45"
"357207095100905","G0NXL0PLKPFQ","eze5","iPhone XS","A1920","","BH-A,","Silver","64GB","{""Remarks"":""OEM"",""Data"":[{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Serial Number"",""FactorySerial"":""G0NXL0PLKPFQ"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""G0NXL0PLKPFQ""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Main Board"",""FactorySerial"":""F3X84250CWXJVN6A"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""F3X84250CWXJVN6A""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Battery"",""FactorySerial"":""F5D84033LR7JT0L0L"",""checkSum"":""null"",""CurrentSerial"":""F5D84033LR7JT0L0L""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Front Camera"",""FactorySerial"":""DNM83871VHXJH834S"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNM83871VHXJH834S""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""Back Camera"",""FactorySerial"":""DNL839714DVJ5XN6F"",""checkSum"":""null"",""notice"":"""",""CurrentSerial"":""DNL839714DVJ5XN6F""},{""currentCheckSum"":""null"",""Status"":""OEM"",""name"":""LCD"",""FactorySerial"":""FXD83653V0GJNK57Q+10524092688161077756762913"",""checkSum"":""null"",""CurrentSerial"":""FXD83653V0GJNK57Q+10524092688161077756762913""}]}","77","UNLK","Off","AT&T","No","Unlocked",NaN,"2021-09-20T18:34:55.00-04:00","2021-09-20 22:52:39"
