ordernbr,shipmentnumber,itemnbr,itemdescription,deliverydetailid,serialnumber,manufacturer,model,carrier,type,trackingnumber,grade,lpn,Warehouse,Unit_Selling_Price
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354866090261906,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354877093734567,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354867090980503,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,359404089791140,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354863090523468,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354872095753855,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,353041093454590,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354869091015511,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354860091871912,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,359407083995989,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203318,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,353046093774228,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203703,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,353044096975686,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203703,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,354873096151198,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203703,W03-ATT,225
1139196,9713130,1603872,APPL.iPhone X.A1901.64GB.Space Gray.OTH.B+,,359412088406339,APPL,iPhone X,OTH,,522085707468,B+,W03PP1203703,W03-ATT,225
